"DTI_CL_MES","Month","DTI_CL_ESTACIONES_METEO","DMC weather stations","Value","Flag Codes","Flags"
"2010-M05","2010 May","T001004","Mataveri",25,,
"2010-M05","2010 May","T001007","La Florida",21,,
"2010-M05","2010 May","T001009","Punta Ángeles",20,,
"2010-M05","2010 May","T001010","Jardín Botánico",22,,
"2010-M05","2010 May","T001011","Quinta Normal",29.3,,
"2010-M05","2010 May","T001012","Arturo Merino Benítezl",29.1,,
"2010-M05","2010 May","T001014","Juan Fernández",22,,
"2010-M05","2010 May","T001015","Graneros",29.3,,
"2010-M05","2010 May","T001016","General Freire",24.1,,
"2010-M05","2010 May","T001017","Bernardo O'Higgins",22.6,,
"2010-M05","2010 May","T001018","Carriel Sur",20.8,,
"2010-M05","2010 May","T001019","Maquehue",21.7,,
"2010-M05","2010 May","T001020","Pichoy",17.2,,
"2010-M05","2010 May","T001021","Cañal Bajo",18,,
"2010-M05","2010 May","T001022","El Tepual",19.4,,
"2010-M05","2010 May","T001023","Teniente Vidal",16.1,,
"2010-M05","2010 May","T001024","Balmaceda",14.7,,
"2010-M05","2010 May","T001025","Pdte. Carlos Ibáñez",13.1,,
"2010-M05","2010 May","T001026","Eduardo Frei Montalva",2.1,,
"2010-M06","2010 June","T001001","Chacalluta",19.6,,
"2010-M06","2010 June","T001002","Diego Aracena",19,,
"2010-M06","2010 June","T001003","Cerro Moreno",18.3,,
"2010-M06","2010 June","T001004","Mataveri",23.8,,
"2010-M06","2010 June","T001007","La Florida",17.2,,
"2010-M06","2010 June","T001009","Punta Ángeles",18.8,,
"2010-M06","2010 June","T001010","Jardín Botánico",21,,
"2010-M06","2010 June","T001011","Quinta Normal",23,,
"2010-M06","2010 June","T001012","Arturo Merino Benítezl",21.9,,
"2010-M06","2010 June","T001014","Juan Fernández",18.3,,
"2010-M06","2010 June","T001015","Graneros",24.2,,
"2010-M06","2010 June","T001016","General Freire",17,,
"2010-M06","2010 June","T001017","Bernardo O'Higgins",18,,
"2010-M06","2010 June","T001018","Carriel Sur",17.7,,
"2010-M06","2010 June","T001019","Maquehue",15.7,,
"2010-M06","2010 June","T001020","Pichoy",14.5,,
"2010-M06","2010 June","T001021","Cañal Bajo",15.6,,
"2010-M06","2010 June","T001022","El Tepual",15.5,,
"2010-M06","2010 June","T001023","Teniente Vidal",12.8,,
"2010-M06","2010 June","T001024","Balmaceda",11.7,,
"2010-M06","2010 June","T001025","Pdte. Carlos Ibáñez",9.6,,
"2010-M06","2010 June","T001026","Eduardo Frei Montalva",4,,
"2010-M07","2010 July","T001001","Chacalluta",17.9,,
"2010-M07","2010 July","T001002","Diego Aracena",18.3,,
"2010-M07","2010 July","T001003","Cerro Moreno",17.2,,
"2010-M07","2010 July","T001004","Mataveri",23,,
"2010-M07","2010 July","T001007","La Florida",17.4,,
"2010-M07","2010 July","T001009","Punta Ángeles",19.5,,
"2010-M07","2010 July","T001010","Jardín Botánico",17,,
"2010-M07","2010 July","T001011","Quinta Normal",22,,
"2010-M07","2010 July","T001012","Arturo Merino Benítezl",19.9,,
"2010-M07","2010 July","T001014","Juan Fernández",17.2,,
"2010-M07","2010 July","T001015","Graneros",19.3,,
"2010-M07","2010 July","T001016","General Freire",16.6,,
"2010-M07","2010 July","T001017","Bernardo O'Higgins",20,,
"2010-M07","2010 July","T001018","Carriel Sur",18.8,,
"2010-M07","2010 July","T001019","Maquehue",20.7,,
"2010-M07","2010 July","T001020","Pichoy",13.9,,
"2010-M07","2010 July","T001021","Cañal Bajo",14,,
"2010-M07","2010 July","T001022","El Tepual",14.9,,
"2010-M07","2010 July","T001023","Teniente Vidal",10.7,,
"2010-M07","2010 July","T001024","Balmaceda",7.8,,
"2010-M07","2010 July","T001025","Pdte. Carlos Ibáñez",11.3,,
"2010-M07","2010 July","T001026","Eduardo Frei Montalva",4,,
"2010-M08","2010 August","T001001","Chacalluta",23.1,,
"2010-M08","2010 August","T001002","Diego Aracena",16.6,,
"2010-M08","2010 August","T001003","Cerro Moreno",18.5,,
"2010-M08","2010 August","T001004","Mataveri",22.4,,
"2010-M08","2010 August","T001007","La Florida",19.8,,
"2010-M08","2010 August","T001009","Punta Ángeles",21.8,,
"2010-M08","2010 August","T001010","Jardín Botánico",26,,
"2010-M08","2010 August","T001011","Quinta Normal",25,,
"2010-M08","2010 August","T001012","Arturo Merino Benítezl",24.5,,
"2010-M08","2010 August","T001014","Juan Fernández",16.5,,
"2010-M08","2010 August","T001015","Graneros",24.4,,
"2010-M08","2010 August","T001016","General Freire",21.4,,
