"DTI_CL_MES","Month","DTI_CL_ESTACIONES_METEO","DMC weather stations","Value","Flag Codes","Flags"
"2015-M10","2015 October","T001007","La Florida",21.5,,
"2015-M10","2015 October","T001009","Punta Ángeles",21,,
"2015-M10","2015 October","T001010","Jardín Botánico",23.6,,
"2015-M10","2015 October","T001011","Quinta Normal",26.9,,
"2015-M10","2015 October","T001012","Arturo Merino Benítezl",25.8,,
"2015-M10","2015 October","T001014","Juan Fernández",18.7,,
"2015-M10","2015 October","T001015","Graneros",29.3,,
"2015-M10","2015 October","T001016","General Freire",24.1,,
"2015-M10","2015 October","T001017","Bernardo O'Higgins",23.4,,
"2015-M10","2015 October","T001018","Carriel Sur",22.6,,
"2015-M10","2015 October","T001019","Maquehue",26,,
"2015-M10","2015 October","T001020","Pichoy",24.8,,
"2015-M10","2015 October","T001021","Cañal Bajo",22.3,,
"2015-M10","2015 October","T001022","El Tepual",22.6,,
"2015-M10","2015 October","T001023","Teniente Vidal",19.4,,
"2015-M10","2015 October","T001024","Balmaceda",18,,
"2015-M10","2015 October","T001025","Pdte. Carlos Ibáñez",16.1,,
"2015-M10","2015 October","T001026","Eduardo Frei Montalva",1.4,,
"2015-M11","2015 November","T001001","Chacalluta",23.8,,
"2015-M11","2015 November","T001002","Diego Aracena",22.8,,
"2015-M11","2015 November","T001003","Cerro Moreno",21.4,,
"2015-M11","2015 November","T001004","Mataveri",25.3,,
"2015-M11","2015 November","T001007","La Florida",22.2,,
"2015-M11","2015 November","T001009","Punta Ángeles",20.9,,
"2015-M11","2015 November","T001011","Quinta Normal",32.4,,
"2015-M11","2015 November","T001012","Arturo Merino Benítezl",31.7,,
"2015-M11","2015 November","T001014","Juan Fernández",20.1,,
"2015-M11","2015 November","T001015","Graneros",32.2,,
"2015-M11","2015 November","T001016","General Freire",30.9,,
"2015-M11","2015 November","T001017","Bernardo O'Higgins",31.7,,
"2015-M11","2015 November","T001018","Carriel Sur",25.7,,
"2015-M11","2015 November","T001019","Maquehue",26.9,,
"2015-M11","2015 November","T001020","Pichoy",27.8,,
"2015-M11","2015 November","T001021","Cañal Bajo",25.7,,
"2015-M11","2015 November","T001022","El Tepual",21.4,,
"2015-M11","2015 November","T001023","Teniente Vidal",25.8,,
"2015-M11","2015 November","T001024","Balmaceda",24,,
"2015-M11","2015 November","T001025","Pdte. Carlos Ibáñez",16.2,,
"2015-M11","2015 November","T001026","Eduardo Frei Montalva",0.7,,
"2015-M12","2015 December","T001001","Chacalluta",25.5,,
"2015-M12","2015 December","T001002","Diego Aracena",25,,
"2015-M12","2015 December","T001003","Cerro Moreno",23.1,,
"2015-M12","2015 December","T001004","Mataveri",27.2,,
"2015-M12","2015 December","T001007","La Florida",22.9,,
"2015-M12","2015 December","T001009","Punta Ángeles",23.6,,
"2015-M12","2015 December","T001011","Quinta Normal",35.3,,
"2015-M12","2015 December","T001012","Arturo Merino Benítezl",34.8,,
"2015-M12","2015 December","T001015","Graneros",34,,
"2015-M12","2015 December","T001016","General Freire",33.9,,
"2015-M12","2015 December","T001017","Bernardo O'Higgins",34,,
"2015-M12","2015 December","T001018","Carriel Sur",27.8,,
"2015-M12","2015 December","T001019","Maquehue",30.2,,
"2015-M12","2015 December","T001020","Pichoy",29.1,,
"2015-M12","2015 December","T001021","Cañal Bajo",28.6,,
"2015-M12","2015 December","T001022","El Tepual",28.9,,
"2015-M12","2015 December","T001023","Teniente Vidal",27.9,,
"2015-M12","2015 December","T001024","Balmaceda",25.7,,
"2015-M12","2015 December","T001025","Pdte. Carlos Ibáñez",21.2,,
"2015-M12","2015 December","T001026","Eduardo Frei Montalva",3.1,,
"2016-M01","2016 January","T001001","Chacalluta",28,,
"2016-M01","2016 January","T001002","Diego Aracena",27.2,,
"2016-M01","2016 January","T001003","Cerro Moreno",26.8,,
"2016-M01","2016 January","T001004","Mataveri",28.5,,
"2016-M01","2016 January","T001007","La Florida",25.8,,
"2016-M01","2016 January","T001009","Punta Ángeles",25.6,,
"2016-M01","2016 January","T001011","Quinta Normal",35.6,,
"2016-M01","2016 January","T001012","Arturo Merino Benítezl",35,,
"2016-M01","2016 January","T001014","Juan Fernández",24.2,,
"2016-M01","2016 January","T001015","Graneros",33.1,,
"2016-M01","2016 January","T001016","General Freire",34.7,,
"2016-M01","2016 January","T001017","Bernardo O'Higgins",36.4,,
"2016-M01","2016 January","T001018","Carriel Sur",29.9,,
"2016-M01","2016 January","T001019","Maquehue",33.5,,
"2016-M01","2016 January","T001020","Pichoy",33.2,,
"2016-M01","2016 January","T001021","Cañal Bajo",31.3,,
"2016-M01","2016 January","T001022","El Tepual",25.8,,
"2016-M01","2016 January","T001023","Teniente Vidal",31.4,,
"2016-M01","2016 January","T001024","Balmaceda",30.1,,
"2016-M01","2016 January","T001025","Pdte. Carlos Ibáñez",21.2,,
"2016-M01","2016 January","T001026","Eduardo Frei Montalva",4.9,,
"2016-M01","2016 January","T001028","El Loa",29.2,,
"2016-M02","2016 February","T001001","Chacalluta",28.5,,
"2016-M02","2016 February","T001002","Diego Aracena",28.8,,
"2016-M02","2016 February","T001003","Cerro Moreno",28,,
"2016-M02","2016 February","T001004","Mataveri",28.5,,
"2016-M02","2016 February","T001007","La Florida",25.7,,
"2016-M02","2016 February","T001009","Punta Ángeles",25.6,,
"2016-M02","2016 February","T001011","Quinta Normal",34.5,,
"2016-M02","2016 February","T001012","Arturo Merino Benítezl",34.9,,
"2016-M02","2016 February","T001014","Juan Fernández",24.8,,
"2016-M02","2016 February","T001015","Graneros",33.7,,
"2016-M02","2016 February","T001016","General Freire",33.8,,
"2016-M02","2016 February","T001017","Bernardo O'Higgins",35.9,,
"2016-M02","2016 February","T001018","Carriel Sur",26.7,,
"2016-M02","2016 February","T001019","Maquehue",33.1,,
"2016-M02","2016 February","T001020","Pichoy",35,,
"2016-M02","2016 February","T001021","Cañal Bajo",31.5,,
"2016-M02","2016 February","T001022","El Tepual",28.3,,
"2016-M02","2016 February","T001023","Teniente Vidal",32.6,,
"2016-M02","2016 February","T001024","Balmaceda",31.1,,
"2016-M02","2016 February","T001025","Pdte. Carlos Ibáñez",23.3,,
"2016-M02","2016 February","T001026","Eduardo Frei Montalva",5,,
"2016-M02","2016 February","T001028","El Loa",29,,
"2016-M03","2016 March","T001001","Chacalluta",29.7,,
"2016-M03","2016 March","T001002","Diego Aracena",27.3,,
"2016-M03","2016 March","T001003","Cerro Moreno",24.4,,
"2016-M03","2016 March","T001004","Mataveri",27.9,,
"2016-M03","2016 March","T001007","La Florida",23.1,,
"2016-M03","2016 March","T001009","Punta Ángeles",25.5,,
"2016-M03","2016 March","T001011","Quinta Normal",35,,
"2016-M03","2016 March","T001012","Arturo Merino Benítezl",34.7,,
"2016-M03","2016 March","T001014","Juan Fernández",23.5,,
"2016-M03","2016 March","T001015","Graneros",33.6,,
"2016-M03","2016 March","T001016","General Freire",33.9,,
"2016-M03","2016 March","T001017","Bernardo O'Higgins",34.3,,
"2016-M03","2016 March","T001018","Carriel Sur",25.4,,
"2016-M03","2016 March","T001019","Maquehue",31.9,,
"2016-M03","2016 March","T001020","Pichoy",28.9,,
"2016-M03","2016 March","T001021","Cañal Bajo",28.6,,
"2016-M03","2016 March","T001022","El Tepual",26.4,,
"2016-M03","2016 March","T001023","Teniente Vidal",26,,
"2016-M03","2016 March","T001024","Balmaceda",25.1,,
"2016-M03","2016 March","T001025","Pdte. Carlos Ibáñez",19.3,,
"2016-M03","2016 March","T001026","Eduardo Frei Montalva",5.8,,
"2016-M03","2016 March","T001028","El Loa",29,,
"2016-M04","2016 April","T001001","Chacalluta",28.3,,
"2016-M04","2016 April","T001002","Diego Aracena",26.1,,
"2016-M04","2016 April","T001003","Cerro Moreno",23.8,,
"2016-M04","2016 April","T001004","Mataveri",27.8,,
"2016-M04","2016 April","T001007","La Florida",28.5,,
"2016-M04","2016 April","T001009","Punta Ángeles",22.5,,
"2016-M04","2016 April","T001011","Quinta Normal",27.2,,
"2016-M04","2016 April","T001012","Arturo Merino Benítezl",26.2,,
"2016-M04","2016 April","T001015","Graneros",26.8,,
"2016-M04","2016 April","T001016","General Freire",26.3,,
"2016-M04","2016 April","T001017","Bernardo O'Higgins",24.5,,
"2016-M04","2016 April","T001018","Carriel Sur",22.9,,
"2016-M04","2016 April","T001019","Maquehue",26.7,,
"2016-M04","2016 April","T001020","Pichoy",24.1,,
"2016-M04","2016 April","T001021","Cañal Bajo",21.8,,
"2016-M04","2016 April","T001022","El Tepual",22.3,,
"2016-M04","2016 April","T001023","Teniente Vidal",20.5,,
"2016-M04","2016 April","T001024","Balmaceda",19.9,,
"2016-M04","2016 April","T001025","Pdte. Carlos Ibáñez",18.4,,
"2016-M04","2016 April","T001026","Eduardo Frei Montalva",3.5,,
"2016-M04","2016 April","T001028","El Loa",26.6,,
"2016-M05","2016 May","T001001","Chacalluta",25.9,,
"2016-M05","2016 May","T001002","Diego Aracena",23.3,,
"2016-M05","2016 May","T001003","Cerro Moreno",23,,
"2016-M05","2016 May","T001004","Mataveri",24.8,,
"2016-M05","2016 May","T001007","La Florida",22.8,,
"2016-M05","2016 May","T001009","Punta Ángeles",24.5,,
"2016-M05","2016 May","T001011","Quinta Normal",27.1,,
"2016-M05","2016 May","T001012","Arturo Merino Benítezl",25.7,,
"2016-M05","2016 May","T001015","Graneros",24.1,,
"2016-M05","2016 May","T001016","General Freire",21.8,,
"2016-M05","2016 May","T001017","Bernardo O'Higgins",20.8,,
"2016-M05","2016 May","T001018","Carriel Sur",20.2,,
"2016-M05","2016 May","T001019","Maquehue",22.1,,
"2016-M05","2016 May","T001020","Pichoy",21.2,,
"2016-M05","2016 May","T001021","Cañal Bajo",20.1,,
"2016-M05","2016 May","T001022","El Tepual",20.1,,
"2016-M05","2016 May","T001023","Teniente Vidal",16.3,,
"2016-M05","2016 May","T001024","Balmaceda",15.1,,
"2016-M05","2016 May","T001025","Pdte. Carlos Ibáñez",11.3,,
"2016-M05","2016 May","T001026","Eduardo Frei Montalva",4.4,,
"2016-M05","2016 May","T001028","El Loa",26.2,,
"2016-M06","2016 June","T001001","Chacalluta",24.7,,
"2016-M06","2016 June","T001002","Diego Aracena",20.9,,
"2016-M06","2016 June","T001003","Cerro Moreno",23.8,,
"2016-M06","2016 June","T001004","Mataveri",23.3,,
"2016-M06","2016 June","T001007","La Florida",28.4,,
"2016-M06","2016 June","T001009","Punta Ángeles",18.1,,
"2016-M06","2016 June","T001011","Quinta Normal",25,,
"2016-M06","2016 June","T001012","Arturo Merino Benítezl",23.1,,
"2016-M06","2016 June","T001014","Juan Fernández",17.9,,
"2016-M06","2016 June","T001015","Graneros",24.6,,
"2016-M06","2016 June","T001016","General Freire",18.7,,
"2016-M06","2016 June","T001017","Bernardo O'Higgins",15.5,,
"2016-M06","2016 June","T001018","Carriel Sur",17.2,,
"2016-M06","2016 June","T001019","Maquehue",17.8,,
"2016-M06","2016 June","T001020","Pichoy",15.3,,
"2016-M06","2016 June","T001021","Cañal Bajo",15,,
"2016-M06","2016 June","T001022","El Tepual",14.4,,
"2016-M06","2016 June","T001023","Teniente Vidal",13.5,,
"2016-M06","2016 June","T001024","Balmaceda",14.7,,
"2016-M06","2016 June","T001025","Pdte. Carlos Ibáñez",12.5,,
"2016-M06","2016 June","T001026","Eduardo Frei Montalva",1.5,,
"2016-M06","2016 June","T001028","El Loa",25,,
"2016-M07","2016 July","T001001","Chacalluta",27.9,,
"2016-M07","2016 July","T001002","Diego Aracena",33.4,,
"2016-M07","2016 July","T001003","Cerro Moreno",20.8,,
"2016-M07","2016 July","T001004","Mataveri",22.8,,
"2016-M07","2016 July","T001007","La Florida",25.8,,
"2016-M07","2016 July","T001009","Punta Ángeles",18.5,,
"2016-M07","2016 July","T001011","Quinta Normal",23.1,,
"2016-M07","2016 July","T001012","Arturo Merino Benítezl",22.1,,
"2016-M07","2016 July","T001014","Juan Fernández",18.1,,
"2016-M07","2016 July","T001015","Graneros",19.3,,
"2016-M07","2016 July","T001016","General Freire",19.1,,
"2016-M07","2016 July","T001017","Bernardo O'Higgins",17.2,,
"2016-M07","2016 July","T001018","Carriel Sur",16.4,,
"2016-M07","2016 July","T001019","Maquehue",16.8,,
"2016-M07","2016 July","T001020","Pichoy",15.4,,
"2016-M07","2016 July","T001021","Cañal Bajo",14.2,,
"2016-M07","2016 July","T001022","El Tepual",13.2,,
"2016-M07","2016 July","T001023","Teniente Vidal",13.5,,
"2016-M07","2016 July","T001024","Balmaceda",12.3,,
"2016-M07","2016 July","T001025","Pdte. Carlos Ibáñez",7.7,,
"2016-M07","2016 July","T001026","Eduardo Frei Montalva",0.2,,
"2016-M07","2016 July","T001028","El Loa",24.7,,
"2016-M08","2016 August","T001001","Chacalluta",21.9,,
"2016-M08","2016 August","T001002","Diego Aracena",19.6,,
"2016-M08","2016 August","T001003","Cerro Moreno",20.1,,
"2016-M08","2016 August","T001004","Mataveri",24.4,,
"2016-M08","2016 August","T001007","La Florida",26,,
"2016-M08","2016 August","T001009","Punta Ángeles",23.5,,
"2016-M08","2016 August","T001011","Quinta Normal",26.8,,
"2016-M08","2016 August","T001012","Arturo Merino Benítezl",25.8,,
"2016-M08","2016 August","T001014","Juan Fernández",19.9,,
"2016-M08","2016 August","T001015","Graneros",27.8,,
"2016-M08","2016 August","T001016","General Freire",22.4,,
"2016-M08","2016 August","T001017","Bernardo O'Higgins",23.6,,
"2016-M08","2016 August","T001018","Carriel Sur",21.4,,
"2016-M08","2016 August","T001019","Maquehue",18.1,,
"2016-M08","2016 August","T001020","Pichoy",17.7,,
"2016-M08","2016 August","T001021","Cañal Bajo",16,,
"2016-M08","2016 August","T001022","El Tepual",14.7,,
"2016-M08","2016 August","T001023","Teniente Vidal",14.7,,
"2016-M08","2016 August","T001024","Balmaceda",13.9,,
"2016-M08","2016 August","T001025","Pdte. Carlos Ibáñez",12.9,,
"2016-M08","2016 August","T001026","Eduardo Frei Montalva",0.2,,
"2016-M08","2016 August","T001028","El Loa",27.7,,
"2016-M09","2016 September","T001001","Chacalluta",20.7,,
"2016-M09","2016 September","T001002","Diego Aracena",19.7,,
"2016-M09","2016 September","T001003","Cerro Moreno",19.4,,
"2016-M09","2016 September","T001004","Mataveri",23.2,,
"2016-M09","2016 September","T001007","La Florida",20.3,,
"2016-M09","2016 September","T001009","Punta Ángeles",23.3,,
"2016-M09","2016 September","T001011","Quinta Normal",32,,
"2016-M09","2016 September","T001012","Arturo Merino Benítezl",31.5,,
"2016-M09","2016 September","T001014","Juan Fernández",18.2,,
"2016-M09","2016 September","T001015","Graneros",31.7,,
"2016-M09","2016 September","T001016","General Freire",27.6,,
"2016-M09","2016 September","T001017","Bernardo O'Higgins",27.8,,
"2016-M09","2016 September","T001018","Carriel Sur",26.8,,
"2016-M09","2016 September","T001019","Maquehue",26.3,,
"2016-M09","2016 September","T001020","Pichoy",23.7,,
"2016-M09","2016 September","T001021","Cañal Bajo",21.1,,
"2016-M09","2016 September","T001022","El Tepual",19.6,,
"2016-M09","2016 September","T001023","Teniente Vidal",20.1,,
"2016-M09","2016 September","T001024","Balmaceda",19.6,,
"2016-M09","2016 September","T001025","Pdte. Carlos Ibáñez",13.7,,
"2016-M09","2016 September","T001026","Eduardo Frei Montalva",1.5,,
"2016-M09","2016 September","T001028","El Loa",26.5,,
"2016-M10","2016 October","T001001","Chacalluta",22.4,,
"2016-M10","2016 October","T001002","Diego Aracena",21.1,,
"2016-M10","2016 October","T001003","Cerro Moreno",22.1,,
"2016-M10","2016 October","T001004","Mataveri",25.5,,
"2016-M10","2016 October","T001007","La Florida",22.6,,
"2016-M10","2016 October","T001009","Punta Ángeles",23.5,,
"2016-M10","2016 October","T001011","Quinta Normal",31.6,,
"2016-M10","2016 October","T001012","Arturo Merino Benítezl",31.9,,
"2016-M10","2016 October","T001014","Juan Fernández",20.9,,
"2016-M10","2016 October","T001015","Graneros",32.7,,
"2016-M10","2016 October","T001016","General Freire",31.2,,
"2016-M10","2016 October","T001017","Bernardo O'Higgins",31.9,,
"2016-M10","2016 October","T001018","Carriel Sur",27.1,,
"2016-M10","2016 October","T001019","Maquehue",28.2,,
"2016-M10","2016 October","T001020","Pichoy",28.6,,
"2016-M10","2016 October","T001021","Cañal Bajo",26.1,,
"2016-M10","2016 October","T001022","El Tepual",22.1,,
"2016-M10","2016 October","T001023","Teniente Vidal",23.1,,
"2016-M10","2016 October","T001024","Balmaceda",24.4,,
"2016-M10","2016 October","T001025","Pdte. Carlos Ibáñez",18.4,,
"2016-M10","2016 October","T001026","Eduardo Frei Montalva",2.5,,
"2016-M10","2016 October","T001028","El Loa",27.1,,
"2016-M11","2016 November","T001001","Chacalluta",23.8,,
"2016-M11","2016 November","T001002","Diego Aracena",22.8,,
"2016-M11","2016 November","T001003","Cerro Moreno",22.5,,
"2016-M11","2016 November","T001004","Mataveri",26.8,,
"2016-M11","2016 November","T001007","La Florida",22.7,,
"2016-M11","2016 November","T001009","Punta Ángeles",30.2,,
"2016-M11","2016 November","T001011","Quinta Normal",34.8,,
"2016-M11","2016 November","T001012","Arturo Merino Benítezl",34.6,,
"2016-M11","2016 November","T001014","Juan Fernández",22.3,,
"2016-M11","2016 November","T001015","Graneros",35.6,,
"2016-M11","2016 November","T001016","General Freire",36.6,,
"2016-M11","2016 November","T001017","Bernardo O'Higgins",36.3,,
"2016-M11","2016 November","T001018","Carriel Sur",32.5,,
"2016-M11","2016 November","T001019","Maquehue",32.3,,
"2016-M11","2016 November","T001020","Pichoy",31.2,,
"2016-M11","2016 November","T001021","Cañal Bajo",30.4,,
"2016-M11","2016 November","T001022","El Tepual",26.5,,
"2016-M11","2016 November","T001023","Teniente Vidal",29.3,,
"2016-M11","2016 November","T001024","Balmaceda",28.4,,
"2016-M11","2016 November","T001025","Pdte. Carlos Ibáñez",22.1,,
"2016-M11","2016 November","T001026","Eduardo Frei Montalva",1.6,,
"2016-M11","2016 November","T001028","El Loa",27.2,,
"2016-M12","2016 December","T001001","Chacalluta",26.2,,
"2016-M12","2016 December","T001002","Diego Aracena",25.9,,
"2016-M12","2016 December","T001003","Cerro Moreno",23.4,,
"2016-M12","2016 December","T001004","Mataveri",27.7,,
"2016-M12","2016 December","T001007","La Florida",24.3,,
"2016-M12","2016 December","T001009","Punta Ángeles",26.5,,
"2016-M12","2016 December","T001011","Quinta Normal",37.3,,
"2016-M12","2016 December","T001012","Arturo Merino Benítezl",37,,
"2016-M12","2016 December","T001014","Juan Fernández",23.7,,
"2016-M12","2016 December","T001015","Graneros",34.9,,
"2016-M12","2016 December","T001016","General Freire",34.7,,
"2016-M12","2016 December","T001017","Bernardo O'Higgins",34.6,,
"2016-M12","2016 December","T001018","Carriel Sur",26.3,,
"2016-M12","2016 December","T001019","Maquehue",28.9,,
"2016-M12","2016 December","T001020","Pichoy",30.3,,
"2016-M12","2016 December","T001021","Cañal Bajo",27.7,,
"2016-M12","2016 December","T001022","El Tepual",25.1,,
"2016-M12","2016 December","T001023","Teniente Vidal",24.3,,
"2016-M12","2016 December","T001024","Balmaceda",22.9,,
"2016-M12","2016 December","T001025","Pdte. Carlos Ibáñez",18.8,,
"2016-M12","2016 December","T001026","Eduardo Frei Montalva",3.4,,
"2016-M12","2016 December","T001028","El Loa",26.5,,
"2009-M01","2009 January","T001001","Chacalluta",27.2,,
"2009-M01","2009 January","T001002","Diego Aracena",28.4,,
"2009-M01","2009 January","T001003","Cerro Moreno",25.2,,
"2009-M01","2009 January","T001004","Mataveri",29.3,,
"2009-M01","2009 January","T001007","La Florida",22.8,,
"2009-M01","2009 January","T001009","Punta Ángeles",24,,
"2009-M01","2009 January","T001010","Jardín Botánico",31.6,,
"2009-M01","2009 January","T001011","Quinta Normal",34.2,,
"2009-M01","2009 January","T001012","Arturo Merino Benítezl",34.7,,
"2009-M01","2009 January","T001014","Juan Fernández",27.2,,
"2009-M01","2009 January","T001015","Graneros",32.7,,
"2009-M01","2009 January","T001016","General Freire",36,,
"2009-M01","2009 January","T001017","Bernardo O'Higgins",37.2,,
"2009-M01","2009 January","T001018","Carriel Sur",29.1,,
"2009-M01","2009 January","T001019","Maquehue",34.1,,
"2009-M01","2009 January","T001020","Pichoy",33,,
"2009-M01","2009 January","T001022","El Tepual",26.9,,
"2009-M01","2009 January","T001023","Teniente Vidal",27,,
"2009-M01","2009 January","T001024","Balmaceda",25.2,,
"2009-M01","2009 January","T001025","Pdte. Carlos Ibáñez",21.5,,
"2009-M01","2009 January","T001026","Eduardo Frei Montalva",5,,
"2009-M02","2009 February","T001001","Chacalluta",27.9,,
"2009-M02","2009 February","T001002","Diego Aracena",30.4,,
"2009-M02","2009 February","T001003","Cerro Moreno",25.7,,
"2009-M02","2009 February","T001004","Mataveri",29.1,,
"2009-M02","2009 February","T001007","La Florida",23.3,,
"2009-M02","2009 February","T001009","Punta Ángeles",26.3,,
"2009-M02","2009 February","T001010","Jardín Botánico",34,,
"2009-M02","2009 February","T001011","Quinta Normal",34.6,,
"2009-M02","2009 February","T001012","Arturo Merino Benítezl",34.8,,
"2009-M02","2009 February","T001014","Juan Fernández",25.5,,
"2009-M02","2009 February","T001015","Graneros",31.7,,
"2009-M02","2009 February","T001016","General Freire",33.1,,
"2009-M02","2009 February","T001017","Bernardo O'Higgins",33.8,,
"2009-M02","2009 February","T001018","Carriel Sur",25.7,,
"2009-M02","2009 February","T001019","Maquehue",32.8,,
"2009-M02","2009 February","T001020","Pichoy",31,,
"2009-M02","2009 February","T001022","El Tepual",23.9,,
"2009-M02","2009 February","T001023","Teniente Vidal",24.7,,
"2009-M02","2009 February","T001024","Balmaceda",22.8,,
"2009-M02","2009 February","T001025","Pdte. Carlos Ibáñez",18.6,,
"2009-M02","2009 February","T001026","Eduardo Frei Montalva",3.9,,
"2009-M03","2009 March","T001001","Chacalluta",28.2,,
"2009-M03","2009 March","T001002","Diego Aracena",28.8,,
"2009-M03","2009 March","T001003","Cerro Moreno",24.8,,
"2009-M03","2009 March","T001004","Mataveri",28.4,,
"2009-M03","2009 March","T001007","La Florida",23.1,,
"2009-M03","2009 March","T001009","Punta Ángeles",27.6,,
"2009-M03","2009 March","T001010","Jardín Botánico",34.6,,
"2009-M03","2009 March","T001011","Quinta Normal",34,,
"2009-M03","2009 March","T001012","Arturo Merino Benítezl",34.7,,
"2009-M03","2009 March","T001014","Juan Fernández",25.4,,
"2009-M03","2009 March","T001015","Graneros",32,,
"2009-M03","2009 March","T001016","General Freire",33.8,,
"2009-M03","2009 March","T001017","Bernardo O'Higgins",37.8,,
"2009-M03","2009 March","T001018","Carriel Sur",27,,
"2009-M03","2009 March","T001019","Maquehue",35.1,,
"2009-M03","2009 March","T001020","Pichoy",32,,
"2009-M03","2009 March","T001022","El Tepual",23.1,,
"2009-M03","2009 March","T001023","Teniente Vidal",27.5,,
"2009-M03","2009 March","T001024","Balmaceda",26.4,,
"2009-M03","2009 March","T001025","Pdte. Carlos Ibáñez",24.9,,
"2009-M03","2009 March","T001026","Eduardo Frei Montalva",5.2,,
"2009-M04","2009 April","T001001","Chacalluta",25,,
"2009-M04","2009 April","T001002","Diego Aracena",27.2,,
"2009-M04","2009 April","T001003","Cerro Moreno",23.6,,
"2009-M04","2009 April","T001004","Mataveri",28,,
"2009-M04","2009 April","T001007","La Florida",21.5,,
"2009-M04","2009 April","T001009","Punta Ángeles",24.5,,
"2009-M04","2009 April","T001010","Jardín Botánico",32,,
"2009-M04","2009 April","T001011","Quinta Normal",30.5,,
"2009-M04","2009 April","T001012","Arturo Merino Benítezl",30.8,,
"2009-M04","2009 April","T001014","Juan Fernández",24.9,,
"2009-M04","2009 April","T001015","Graneros",30.8,,
"2009-M04","2009 April","T001016","General Freire",29.9,,
"2009-M04","2009 April","T001017","Bernardo O'Higgins",31,,
"2009-M04","2009 April","T001018","Carriel Sur",26.2,,
"2009-M04","2009 April","T001019","Maquehue",26,,
"2009-M04","2009 April","T001020","Pichoy",24.8,,
"2009-M04","2009 April","T001022","El Tepual",21.1,,
"2009-M04","2009 April","T001023","Teniente Vidal",21,,
"2009-M04","2009 April","T001024","Balmaceda",18,,
"2009-M04","2009 April","T001025","Pdte. Carlos Ibáñez",16.5,,
"2009-M04","2009 April","T001026","Eduardo Frei Montalva",1.9,,
"2009-M05","2009 May","T001001","Chacalluta",23.4,,
"2009-M05","2009 May","T001002","Diego Aracena",25.4,,
"2009-M05","2009 May","T001003","Cerro Moreno",20.9,,
"2009-M05","2009 May","T001004","Mataveri",26.1,,
"2009-M05","2009 May","T001007","La Florida",21.3,,
"2009-M05","2009 May","T001009","Punta Ángeles",22.5,,
"2009-M05","2009 May","T001010","Jardín Botánico",24,,
"2009-M05","2009 May","T001011","Quinta Normal",26.3,,
"2009-M05","2009 May","T001012","Arturo Merino Benítezl",26.7,,
"2009-M05","2009 May","T001014","Juan Fernández",22.5,,
"2009-M05","2009 May","T001015","Graneros",25.4,,
"2009-M05","2009 May","T001016","General Freire",22.8,,
"2009-M05","2009 May","T001018","Carriel Sur",18.3,,
"2009-M05","2009 May","T001019","Maquehue",20.4,,
"2009-M05","2009 May","T001020","Pichoy",17.8,,
"2009-M05","2009 May","T001022","El Tepual",17.4,,
"2009-M05","2009 May","T001023","Teniente Vidal",15.2,,
"2009-M05","2009 May","T001024","Balmaceda",15.5,,
"2009-M05","2009 May","T001025","Pdte. Carlos Ibáñez",10.5,,
"2009-M05","2009 May","T001026","Eduardo Frei Montalva",6.3,,
"2009-M06","2009 June","T001001","Chacalluta",21.4,,
"2009-M06","2009 June","T001002","Diego Aracena",22,,
"2009-M06","2009 June","T001003","Cerro Moreno",19.4,,
"2009-M06","2009 June","T001004","Mataveri",23.9,,
"2009-M06","2009 June","T001007","La Florida",24.9,,
"2009-M06","2009 June","T001009","Punta Ángeles",23.5,,
"2009-M06","2009 June","T001010","Jardín Botánico",23.6,,
"2009-M06","2009 June","T001011","Quinta Normal",26,,
"2009-M06","2009 June","T001012","Arturo Merino Benítezl",25.7,,
"2009-M06","2009 June","T001014","Juan Fernández",21,,
"2009-M06","2009 June","T001015","Graneros",25.6,,
"2009-M06","2009 June","T001016","General Freire",16.6,,
"2009-M06","2009 June","T001017","Bernardo O'Higgins",15.8,,
"2009-M06","2009 June","T001018","Carriel Sur",18.5,,
"2009-M06","2009 June","T001019","Maquehue",15.5,,
"2009-M06","2009 June","T001020","Pichoy",15.8,,
"2009-M06","2009 June","T001022","El Tepual",13.5,,
"2009-M06","2009 June","T001023","Teniente Vidal",13.8,,
"2009-M06","2009 June","T001024","Balmaceda",13.4,,
"2009-M06","2009 June","T001025","Pdte. Carlos Ibáñez",12.6,,
"2009-M06","2009 June","T001026","Eduardo Frei Montalva",0.4,,
"2009-M07","2009 July","T001001","Chacalluta",20.6,,
"2009-M07","2009 July","T001002","Diego Aracena",21.8,,
"2009-M07","2009 July","T001003","Cerro Moreno",18.8,,
"2009-M07","2009 July","T001004","Mataveri",23.7,,
"2009-M07","2009 July","T001007","La Florida",19.2,,
"2009-M07","2009 July","T001009","Punta Ángeles",20,,
"2009-M07","2009 July","T001010","Jardín Botánico",19.8,,
"2009-M07","2009 July","T001011","Quinta Normal",22.8,,
"2009-M07","2009 July","T001012","Arturo Merino Benítezl",21.8,,
"2009-M07","2009 July","T001014","Juan Fernández",18.7,,
"2009-M07","2009 July","T001015","Graneros",23.3,,
"2009-M07","2009 July","T001016","General Freire",18.6,,
"2009-M07","2009 July","T001017","Bernardo O'Higgins",16,,
"2009-M07","2009 July","T001018","Carriel Sur",17.9,,
"2009-M07","2009 July","T001019","Maquehue",14.8,,
"2009-M07","2009 July","T001020","Pichoy",13.8,,
"2009-M07","2009 July","T001022","El Tepual",14.4,,
"2009-M07","2009 July","T001023","Teniente Vidal",15.7,,
