Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
EVENTOS ESCAPE DE PECES (SALMÓNIDOS)  HISTÓRICOS 2010 A 2024,,,,,,,,,
NÚMERO EVENTO,REGIÓN,COMUNA,CÓDIGO CENTRO,TITULAR/OPERADOR,ACS,FECHA DE EVENTO,AÑO,NÚMERO PECES ESCAPADOS,ESPECIE
60,Región de Aysén del General Carlos Ibáñez del Campo,Aysén,110897,COOKE AQUACULTURE,25B,2018-10-19 00:00:00,2018,100,Salmón del Atlántico
61,Región de Los Lagos,Chonchi,500031,SALMOPROCESOS S.A.,ACOPIO,2019-01-28 00:00:00,2019,518,Trucha arcoíris
62,Región de Los Lagos,Calbuco,100195,SALMONES AYSEN S.A.,3A,2019-09-30 00:00:00,2019,26511,Salmón plateado o Coho
63,Región de Aysén del General Carlos Ibáñez del Campo,Cisnes,110178,GRANJA MARINA TORNAGALEÓN S.A.,32,2019-11-21 00:00:00,2019,20725,Salmón del Atlántico
64,Región de Los Lagos,Quemchi,101953,CERMAQ CHILE S.A.,7,2019-12-22 00:00:00,2019,22943,Salmón plateado o Coho
65,Región de Aysén del General Carlos Ibáñez del Campo,Cisnes,110627,SALMONES BLUMAR S.A.,19A,2019-12-28 00:00:00,2019,15000,Salmón del Atlántico
66,Región de Aysén del General Carlos Ibáñez del Campo,Aysén,110831,SALMONES BLUMAR S.A.,21C,2020-05-16 00:00:00,2020,100,Salmón del Atlántico
67,Región de Aysén del General Carlos Ibáñez del Campo,Cisnes,110517,EXPORTADORA LOS FIORDOS LTDA.,18C,2020-03-06 00:00:00,2020,622,Salmón del Atlántico
68,Región de Aysén del General Carlos Ibáñez del Campo,Cisnes,110650,SALMONES BLUMAR S.A.,19A,2020-03-10 00:00:00,2020,50,Salmón del Atlántico
69,Región de Los Lagos,Hualaihué,104040,SALMONES BLUMAR S.A.,2,2020-07-27 00:00:00,2020,103720,Salmón del Atlántico
70,Región de Los Lagos,Chaitén,102178,SALMONES CAMANCHACA S.A.,14,2020-05-18 00:00:00,2020,37150,Salmón del Atlántico
71,Región de Los Lagos,Frutillar,100507,SALMONES CAMANCHACA S.A.,NOAPLICA,2020-07-05 00:00:00,2020,92863,Salmón plateado o Coho
72,Región de Magallanes y de la Antártica Chilena,Río Verde,120168,CERMAQ CHILE S.A.,49A,2020-03-09 00:00:00,2020,51358,Trucha arcoíris
73,Región de Los Lagos,Calbuco,500025,SALMONES CAMANCHACA S.A.,3B,2020-08-07 00:00:00,2020,124309,Salmón plateado o Coho
74,Región de Magallanes y de la Antártica Chilena,Río Verde,120208,NOVA AUSTRAL S.A.,49B,2021-10-01 00:00:00,2021,328331,Salmón del Atlántico
75,Región de Los Lagos,Calbuco,100580,CALETA BAY MAR SPA,3B,2022-01-03 00:00:00,2022,25241,Salmón plateado o Coho
76,Región de Aysén del General Carlos Ibáñez del Campo,Aysén,110730,SALMONES BLUMAR S.A.,30B,2022-06-22 00:00:00,2022,663,Salmón del Atlántico
77,Región de Los Lagos,Llanquihue,100100,CALETA BAY AGUA DULCE SPA,NOAPLICA,2023-02-23 00:00:00,2023,39243,Salmón plateado o Coho
78,Región de Los Lagos,Llanquihue,101866,CALETA BAY AGUA DULCE SPA,NOAPLICA,2023-02-23 00:00:00,2023,20780,Trucha arcoíris
79,Región de Los Lagos,Calbuco,500025,SALMONES CAMANCHACA S.A.,ACOPIO,2024-01-01 00:00:00,2024,2164,Salmón del Atlántico
80,Región de Aysén del General Carlos Ibáñez del Campo,Cisnes,110211,GRANJA MARINA TORNAGALEÓN S.A.,32,2024-01-30 00:00:00,2024,44827,Salmón plateado o Coho
81,Región de Aysén del General Carlos Ibáñez del Campo,Aysén,110809,AUSTRALIS MAR S.A.,24,2024-02-22 00:00:00,2024,9080,Salmón del Atlántico
